,Graze name,Cone,Color,Testing,Surface,Firing,Transparency,Recipe1,Recipe2,Recipe3,Recipe4,Recipe5,Recipe6,Recipe7,Recipe8,Recipe9,Recipe10,Recipe11,Recipe12,Recipe13
244,Clay Stoneware High-Iron Ted Adler's,10,Brown,,Unglazed,Salt - Soda,Opaque,Kaolin	40.00,Fire clay	20.00,Lincoln	60.00,Kentucky OM #4	20.00,Newman Red	10.00,Custer feldspar	10.00,Mullite	10.00,,,,,,
245,Clay Stoneware Rick St. John's,8-10,Brown,,,Ox. or Red.,,GoldArt	50.00,Tennessee ball clay	25.00,Custer feldspar	10.00,Redart	5.00,,,,,,,,,
246,Clay Stoneware UF Shop,8-10,Brown,,unglazed,Ox. or Red.,,GoldArt	65.00,Fire clay	13.00,Ball clay	13.00,Custer feldspar	9.00,Bentonite	1.50,"Grog, fine	5.00",,,,,,,
247,Clay Stoneware White Betty Woodman's,9-10,White,,unglazed,Ox. or Red.,Opaque,XX Sagger	15.00,EPK	13.00,Tennessee ball clay	12.00,Tile 6 clay	25.00,Kaopaque	10.00,Custer feldspar	10.00,Flint	10.00,Molochite	8.00,Macaloid	1.00,,,,
248,Clay Stoneware White Judith's,9-10,White,,,Ox. or Red.,,A.P. Green	22.00,GoldArt	33.00,EPK	17.00,XX Sagger	17.00,Feldspar	11.00,Molochite	11.00,Bentonite	2.00,,,,,,
249,Clay Stoneware White Nelson,9-10,White,,unglazed,Ox. or Red.,Opaque,Custer feldspar	10.00,Tile 6 clay	25.00,XX Sagger	30.00,Kentucky OM #4	20.00,Flint	15.00,,,,,,,,
250,clay Stoneware White VC,9-10,White,,unglazed,Ox. or Red.,Opaque,Tile 6 clay	23.00,EPK	23.00,GoldArt	17.00,Pine Lake	17.00,Custer feldspar	14.00,Flint	5.00,Molochite	2.00,,,,,,
251,Clay Stoneware White VC Off-White,8-10,White,Tested,unglazed,Ox. or Red.,Opaque,Tile 6 clay	20.00,EPK	20.00,XX Sagger	10.00,GoldArt	15.00,A.P. Green	15.00,Custer feldspar	12.00,Flint	80.00,Molochite	4.00,,,,,
252,Clay Wood-fire Barbour,10,Tan,,,Wood,,A.P. Green	45.00,XX Sagger	35.00,Tile 6 clay	20.00,EPK	25.00,Custer feldspar	10.00,Kyanite	10.00,grog	20.00,,,,,,
253,Clay ZAM Superbody,6-10,Brown,,Unglazed,Ox. or Red.,Opaque,Hawthorne Bond	15.00,Fire clay	10.00,GoldArt	40.00,Ball clay	15.00,Flint	10.00,Custer feldspar	7.00,Redart	3.00,Grog	8.00,,,,,
254,Clear,10,clear,Untested,shiny glossy,Ox. or Red.,,Silica	32.00,Whiting	20.00,G-200 Feldspar	33.00,EPK	15.00,,,,,,,,,
255,Clear -Coile Hooven,10 - 11,clear transparent,,glossy shiny,,,Whiting	9.00,Zinc oxide	7.00,Cornwall Stone	79.00,EPK	5.00,,,,,,,,,
256,Clear Base,10,Clear,Untested,,Ox. or Red.,Transparent,Kona Feldspar	36.36,Whiting	20.45,EPK	11.36,Silica	31.82,,,,,,,,,
257,Clear bob's base,7-8,slightly grey,Tested,Gloss,Ox. or Red.,Transparent,Flint	27.30,EPK	18.20,Nepheline syenite	18.20,Bone ash	9.10,Dolomite	9.10,Gerstley borate	9.10,Talc	9.10,,,,,,
258,Clear Buttery Matt #415,10,translucent clear,Untested,semi matte,Ox. or Red.,,Cornwall Stone	85.00,Whiting	10.00,Magnesium carbonate	5.00,,,,,,,,,,
259,Clear Buttery Matt #415,10,translucent clear,Untested,semi matte,Ox. or Red.,,Cornwall Stone	85.00,Whiting	10.00,Magnesium carbonate	5.00,,,,,,,,,,
260,Clear Choy,9 - 10,clear,Untested,Glossy,Ox. or Red.,Transparent,Custer feldspar	50.00,Whiting	6.00,EPK	4.00,Barium carbonate	12.00,Flint	28.00,,,,,,,,
261,Clear Crackle,9 - 10,,Untested,,Ox. or Red.,,Cornwall Stone	85.00,Whiting	15.00,,,,,,,,,,,
262,Clear Crackle rev.,8 - 9 - 10,,Untested,,Ox. or Red.,,Cornwall Stone	42.79,Soda feldspar	42.79,Whiting	14.42,,,,,,,,,,
263,Clear Donna's,10,Clear,,glossy shiny,Ox. or Red.,Transparent,Custer feldspar	34.41,Flint	26.88,Whiting	21.51,Kaolin	17.20,Bentonite	1.08,,,,,,,,
264,Clear Eva's,10,clear,,,,,Kingman feldspar	27.50,Kentucky ball clay	20.10,Whiting	19.60,Silica	32.80,,,,,,,,,
265,Clear Georgia,10,Clear,Untested,,Ox. or Red.,Transparent,Potash feldspar	30.00,Ball clay	20.00,Whiting	20.00,Flint	30.00,,,,,,,,,
266,Clear Gill,10,Clear,Untested,,Ox. or Red.,Transparent,Soda feldspar	26.00,Whiting	20.00,Kaolin	20.00,Silica	32.00,Zinc oxide	2.00,,,,,,,,
267,Clear Granatelli,9,Clear,,Gloss,Ox. or Red.,Transparent,Potash feldspar	40.00,Whiting	15.00,Dolomite	7.00,Gerstley borate	8.00,Zinc oxide	6.00,Ball clay	24.00,Flint	21.50,,,,,,
268,Clear Haystack,9-10,Clear,Tested,Gloss,Reduction,Transparent,Custer feldspar	20.00,Nepheline syenite	5.00,Whiting	25.00,EPK	20.00,Flint	30.00,Bentonite	2.00,,,,,,,
269,Clear Hensley's,10,Clear,,Gloss,Reduction,Transparent,Kona F-4 feldspar	40.00,Gerstley borate	13.00,Barium carbonate	5.00,Whiting	8.50,Flint	29.00,Grolleg	10.00,Frit 3110	3.00,Tin oxide	1.00,,,,,
270,Clear matt Hewitt's,8,translucent white,,matte,,Transparent,Cornwall Stone	45.05,China clay	19.82,Dolomite	20.72,Whiting	5.41,Talc	9.01,,,,,,,,
271,Clear matt Hewitt's,8,White,,matte,,Translucent,Cornwall Stone	45.05,China clay	19.82,Dolomite	20.72,Whiting	5.41,Talc	9.01,,,,,,,,
272,Clear Meloy  revised,8-10,very clear,Tested,Gloss,Reduction,Transparent,Custer feldspar	39.92,Whiting	16.45,EPK Kaolin	11.80,Flint	31.84,Bentonite	1.00,Epsom salts	0.10,,,,,,,
273,Clear Milky,11,Clear,Untested,,Ox. or Red.,Translucent,EPK	15.38,Whiting	15.38,Custer feldspar	30.77,Silica	38.46,,,,,,,,,
274,Clear Pete's Blushing,8-10,Clear,,Gloss,Ox. or Red.,Transparent,Custer spar	39.00,Whiting	17.50,Flint	30.00,Grolleg	8.50,Gerstley borate	5.00,Bone ash	1.50,Tin oxide	1.00,,,,,,
275,Clear Pinnell,10,Clear,Untested,,Ox. or Red.,Transparent,Potash feldspar	25.00,Whiting	20.00,Grolleg	20.00,Silica	35.00,,,,,,,,,
276,Clear Pinnell Hi Fire,8-10,,,Gloss,Ox. or Red.,Transparent,Custer feldspar	28.00,Grolleg	20.00,Flint	26.00,Wollastonite	18.00,Strontium carbonate	8.00,,,,,,,,
277,Clear Pinnell Hi Fire Recalc,8-10,,,Gloss,Ox. or Red.,Transparent,Custer feldspar	28.90,Kaolin - theoretical	16.40,Silica	32.70,Whiting	14.40,Strontium carbonate	7.50,,,,,,,,
278,Clear Tin,10,Clear,Untested,,Ox. or Red.,Transparent,Potash feldspar	25.00,Whiting	25.00,Kaolin	18.00,Silica	32.00,tin	1.00,,,,,,,,
279,Clear/Transparent,9-10,Clear,Tested,Gloss,Ox. or Red.,Transparent,Potash feldspar	26.60,Whiting	20.60,EPK	19.50,Flint (silica)	32.20,Bentonite	1.00,,,,,,,,
280,Cobalt Green (from CM),10,rich green,,,,,Gerstley borate	2.00,Whiting	5.00,Nepheline syenite	70.00,Petalite	15.00,Ball clay	8.00,Cobalt carbonate	1.00,Rutile	2.00,Bentonite	2.00,,,,,
281,Coleman Apple Green,9 - 10,Green Celadon,Untested,Glossy,Reduction,Transparent,K-200 Feldspar	44.00,EPK	10.00,Whiting	18.00,Flint	28.00,Red iron oxide	1.00,,,,,,,,
282,Coleman's Purple,10,purple red,,"shiny, glossy",,,Barium carbonate	4.98,Dolomite	4.97,Gerstley borate	4.97,Whiting	7.96,Zinc oxide	2.49,Custer feldspar	49.75,Silica (200m)	24.88,Tin oxide	1.00,Cobalt carbonate	0.24,Copper carbonate	1.99,,,
283,Cone 9 Crackle Glaze,9,white,,glossy shiny,Ox. or Red.,,Ferro frit 3269	9.90,Lithium carbonate	4.60,Calcined kaolin	16.00,EPK	8.00,Silica	61.50,Bentonite	2.00,,,,,,,
284,Conrad G375 Moonlight Blue,10,rutile blue,,glossy,Oxidation,,Cornwall Stone	63.81,Gerstley borate	14.30,Silica (A-25 best)	7.60,Whiting	7.60,EPK	4.80,Zinc oxide	1.90,Cobalt carbonate	0.50,Rutile (powdered)	3.20,Ilmenite (325 mesh best)	2.00,,,,
285,Copper Blue,9 - 10,deep turquoise blue/green,,dry matt,reduction,,Nepheline syenite	57.50,Barium carbonate	26.50,Kentucky OM #4	6.20,Flint	7.10,Lithium carbonate	2.70,Copper carbonate	2.70,,,,,,,
286,Copper Blue (for exterior surfaces only),10,turquoise blue,,matte,soda salt,,Barium carbonate	35.00,Calcium carbonate	7.00,Custer feldspar	45.00,Kaolin	6.00,Silica	7.00,Copper carbonate	4.00,,,,,,,
287,Copper Red,10,red,,,,,Nepheline syenite	12.50,Custer feldspar	22.44,Silica	32.94,Colemanite	15.82,Zinc oxide	9.28,Barium carbonate	7.03,Copper carbonate	2.24,Tin oxide	1.68,,,,,
288,Copper Red (Dick Lehman),9 - 10 - 11,copper red,Untested,"glossy, shiny",reduction,,Dolomite	12.00,Strontium carbonate	6.00,Whiting	8.00,Nepheline syenite	37.00,Kaolin	2.00,Flint	35.00,Tin oxide	3.00,Copper carbonate	0.50,,,,,
289,Copper Red (from Dick Lehman),9 - 11,copper red,,"glossy, shiny",,,Dolomite	12.00,Strontium carbonate	6.00,Whiting	8.00,Nepheline syenite	37.00,Kaolin	2.00,Flint	35.00,Tin oxide	3.00,Copper carbonate	0.50,,,,,
290,Copper Red (from Walter Donald Kring),9 - 11,copper red,,"glossy, shiny",,,Gerstley borate	9.10,Whiting	14.27,Nepheline syenite	44.26,Potash feldspar	6.20,Kaolin	2.59,Flint	23.58,Copper carbonate	0.41,Tin oxide	1.04,,,,,
291,Copper Red (U. Houston),9-11,oxblood red,Tested,Gloss,Reduction,Translucent,Custer feldspar	42.50,Silica	25.00,Colemanite	17.50,Whiting	2.50,Ferro 3134	10.00,Copper carbonate	1.00,Tin oxide	1.00,Red iron oxide	0.50,Bentonite	1.00,,,,
292,Copper Red (Walter Donald Kring),9 - 10 - 11,copper red,Untested,"glossy, shiny",reduction,,Gerstley borate	9.10,Whiting	14.30,Nepheline syenite	44.30,Potash feldspar	6.20,Kaolin	2.60,Flint	23.60,Copper carbonate	0.40,Tin oxide	1.00,,,,,
293,Copper Red 2,10,red,Untested,,reduction,,Nepheline syenite	12.50,Custer feldspar	22.40,Silica	32.90,Colemanite	15.80,Zinc oxide	9.30,Barium carbonate	7.00,Copper carbonate	2.20,Tin oxide	1.70,,,,,
294,Copper Red 3,9,red,Untested,,reduction,,Nepheline syenite	42.35,Whiting	10.46,Kaolin	2.04,Silica	22.70,Gerstley borate	13.27,Potash feldspar	9.18,Tin oxide	1.70,Copper carbonate	0.26,,,,,
295,Copper Red COLEMAN'S,10,Red,,"shiny, glossy",Reduction,Semi-opaque,Silica	36.00,Nepheline syenite	20.43,Custer feldspar	15.57,Whiting	15.73,Colemanite	10.80,EPK	1.48,Tin oxide	1.72,Copper carbonate	0.43,,,,,
296,Copper Red Dependable,10,Translucent Red,,Shiny or Glossy,Reduction,Semi-opaque,Zinc oxide (calcined)	4.60,Talc	3.60,Whiting	13.20,Ferro frit 3134	11.00,Kona F-4 feldspar	46.20,Silica	16.20,EPK	5.30,Copper carbonate	0.70,Tin oxide	1.00,Bentonite	1.50,,,
297,Copper Red I,10,Translucent copper Red,Untested,Shiny or Glossy,reduction,,Custer feldspar	48.18,Whiting	13.64,Silica	15.45,Ferro Frit 3110	9.09,Zinc oxide	4.55,Talc	3.64,Kaolin	5.45,Copper carbonate	0.91,Tin oxide	1.36,,,,
298,Copper Red No. 21,10,Red,Untested,Waxy,reduction,Opaque,Zinc oxide	7.00,Whiting	10.00,Feldspar	68.00,EPK	8.00,Silica	7.00,Copper carbonate	1.00,Tin oxide	2.00,,,,,,
299,Copper red No. 25,10,Red,,shiny glossy,Reduction,Opaque,Potash feldspar	26.50,Whiting	6.50,Wollastonite	5.00,Barium carbonate	5.00,Zinc oxide	2.50,Kentucky OM #4	12.00,Borax	13.00,Soda ash	2.50,Silica	27.00,Copper carbonate	1.50,Tin oxide	1.00,,
300,Copper Red Ox Blood,10,copper red,Untested,"shiny, glossy",Reduction,,Nepheline syenite	42.40,Silica	22.70,Colemanite	13.30,Whiting	10.50,Custer feldspar	9.20,EPK	2.00,Tin oxide	1.70,Copper oxide	0.30,,,,,
301,Copper Red Pablo's,9 - 10,Red,,"glossy, shiny",Reduction,Opaque,Custer feldspar	46.20,Flint	19.80,EPK	2.50,Whiting	8.20,Gerstley borate	13.50,Zinc oxide	4.00,Dolomite	5.90,Tin oxide	3.00,Copper carbonate	1.50,Ferric oxide	0.50,,,
302,Copper Red Peach Bloom,9 - 10,pink to red?,,Gloss,Reduction,Semi-opaque,Godfrey feldspar	77.78,Colemanite	10.62,Whiting	11.60,Copper oxide	0.30,Tin oxide	1.00,,,,,,,,
303,Copper Red Peach Blossom,10,Pink,,"glossy, shiny",Reduction,Semi-opaque,Flint	42.08,Nepheline syenite	27.85,Gerstley borate	17.26,Dolomite	12.82,Copper carbonate	0.30,Yellow ochre	0.30,Tin oxide	0.30,Bentonite	1.51,,,,,
304,Copper Red Pete's Cranberry,10,SemiOpaque Copper Red,Untested,Shiny or Glossy,reduction,,Gerstley borate	10.20,Whiting	11.10,Custer feldspar	73.80,Silica	4.90,Tin oxide	1.00,Copper carbonate	0.30,,,,,,,
305,Copper Red Pete's Red-Orange,9-10,Red,,Gloss,Reduction,Opaque,Nepheline syenite	48.00,Gerstley borate	14.00,Whiting	10.00,Flint	28.00,Copper carbonate	0.30,Tin oxide	1.02,,,,,,,
306,Copper Red Pete's Red-Orange test,9-10,Red,,Gloss,Reduction,Opaque,Potash feldspar - theoretical	50.00,Whiting	8.80,Silica	11.00,Frit 3134	23.60,Kaolin - theoretical	9.30,Copper carbonate	0.30,Tin oxide	1.00,,,,,,
307,copper red reduction glaze,8 - 10,,,,,,Custer spar	52.09,Magnesium carb	3.12,Flint	31.25,Whiting	13.54,Copper oxide	1.04,Tin oxide	3.12,,,,,,,
308,Copper Red Sang De Boeuf,10,oxblood red,,Gloss,Reduction,Semi-opaque,Godfrey feldspar	77.78,Colemanite	10.62,Whiting	11.60,Copper oxide	0.30,Tin oxide	1.00,,,,,,,,
309,Crackle Glaze,9,white,,glossy shiny,Ox. or Red.,,Ferro frit 3269	9.90,Lithium carbonate	4.60,Calcined kaolin	16.00,EPK	8.00,Silica	61.50,Bentonite	2.00,,,,,,,
310,crawl Hopper,10,White,,Crawl,Ox. or Red.,Opaque,Kona F-4 feldspar	30.00,Frit 3134	10.00,Magnesium carbonate	31.00,Frit 3195	6.00,Talc	8.00,Zinc oxide	6.00,EPK	19.00,,,,,,
311,crawl white,10,White,,Crawl,Ox. or Red.,Opaque,Nepheline syenite	70.00,Magnesium carbonate	30.00,,,,,,,,,,,
312,Cream Matt,10,white,Untested,matt,reduction,,Potash feldspar	56.00,Whiting	23.40,Kaolin	20.60,,,,,,,,,,
313,Crimson Reeves,9,Red,,Gloss,Ox. or Red.,Transparent,Custer feldspar	75.00,Whiting	15.00,Flint	5.00,Kaolin	5.00,Bentonite	3.00,,,,,,,,
314,Crystal Blue #383 Emmanuel Cooper's,10,slate blue w/crystals,,gloss w/ crystalline,Ox. or Red.,Opaque,G-200 feldspar	36.84,Whiting	10.53,Dolomite	21.05,Flint	31.58,Rutile	10.53,Bentonite	5.26,Cobalt carbonate	1.58,,,,,,
315,Crystal C9 CR321 Snowflake,9,Clear,,Gloss,Ox. or Red.,Transparent,Frit 3110	57.00,Zinc oxide	25.00,Flint	18.00,,,,,,,,,,
316,Crystal Cinnamon Shiny,10,Brown,,Gloss,Reduction,Opaque,Custer feldspar	47.00,Whiting	18.00,EPK	7.00,Silica	28.00,Rutile	6.00,Red iron oxide	10.00,Cobalt carbonate	0.50,,,,,,
317,Crystal Shaneresque,9-10,Brown - grey,,Satin matt,Reduction,Opaque,Custer feldspar	67.30,Whiting	2.79,Talc	1.35,Flint	3.60,Manganese dioxide	20.50,Red iron oxide	3.60,,,,,,,
318,Crystalline Aaonsen & Johnson,8,White,,macro crystalline,oxidation,Opaque,Ferro frit 3110	61.90,Zinc oxide	23.81,Silica	14.29,,,,,,,,,,
319,Crystalline base,9,,,Satin matt,,,Feldspar	54.70,Zinc oxide	17.70,Silica	15.70,Whiting	11.80,Bentonite	1.00,,,,,,,,
320,Crystalline Derek Clarkson,6,,,,Ox. or Red.,Opaque,Frit 3110	44.00,Zinc oxide	33.00,Flint	21.00,Alumina hydrate	0.40,Kaolin	0.60,Titanium dioxide	6.00,,,,,,,
321,Crystalline Glaze Hewitt,9,,,crystalline,,,Ferro frit 3110	52.08,Zinc oxide	26.04,Silica	20.83,China clay	1.04,Titanium dioxide	5.21,,,,,,,,
322,Crystalline Glaze Hewitt,9,,Untested,crystalline,Ox. or Red.,,Ferro Frit 3110	52.08,Zinc oxide	26.04,Silica	20.83,China clay	1.04,Titanium dioxide	5.21,,,,,,,,
323,Crystalline Hewitt,9,,,crystalline,,,Ferro frit 3110	52.08,Zinc oxide	26.04,Silica	20.83,China clay	1.04,Titanium dioxide	5.21,,,,,,,,
324,Cushing Matte,9 - 10,,,,,,Custer feldspar	23.64,Dolomite	28.18,Kaolin	28.18,Whiting	13.64,Silica	6.36,,,,,,,,
325,Daryl's Dry Glaze,10,Opaque White,,Dry Matte,,,EPK	44.44,Alumina	44.44,Silica	5.56,Custer feldspar	5.56,,,,,,,,,
326,David Cuzick Shino #4,9 - 10,,,,,,Nepheline syenite	68.18,Spodumene	4.54,Kentucky OM #4	18.18,EPK	4.55,Soda ash	4.55,,,,,,,,
327,F. Black:,8 - 10,blue to black,,glossy shiny,,,Custer feldspar	32.69,Silica	32.69,Whiting	15.38,Kentucky OM #4	9.62,EPK	9.62,Red iron oxide	8.00,Cobalt carbonate	3.80,,,,,,
328,Fake Avery Flashing Slip #4,8 - 10,Opaque Red orange,,Slip or Engobe,,,Nepheline syenite	20.00,China clay	30.00,Calcined kaolin	30.00,EPK	20.00,,,,,,,,,
329,Feuilles d'automne,8-10,Autumn leaves: yellow-green and reddish,Tested,Semi-gloss,Reduction,Opaque,Custer spar	56.80,Dolomite	13.60,Whiting	10.60,Zinc oxide (calc.)	3.00,EPK	16.00,Ilmenite	2.00,Rutile	2.00,Black iron oxide	2.00,,,,,
330,Flasho Rama,8-10,White,,Semi-gloss,Reduction,Opaque,Nepheline syenite	80.00,Dolomite	12.00,Kona F-4 feldspar	4.00,Flint	4.00,Tin oxide	10.00,,,,,,,,
331,Freer Sample 11,9 - 10,,,,,,Custer feldspar	62.63,EPK	18.39,Silica	14.31,Whiting	3.28,Dolomite	1.39,,,,,,,,
332,George's Strawberry Crush,9,red/ blue/ purple/ white,,glossy shiny,,,Potash feldspar	45.45,Flint	25.25,Whiting	14.14,Zinc oxide	4.04,Ferro frit 3134	7.07,Barium carbonate	2.02,Lithium carbonate	2.02,Bentonite	2.02,Tin oxide	1.01,Copper carbonate	0.61,,,
333,GG Base,9,,,,Oxidation,Semi-opaque,Flint	33.50,Custer feldspar	23.00,Dolomite	14.50,Kaolin	12.50,Whiting	11.00,Barium carbonate	1.00,Gerstley borate	4.00,Tin oxide	0.50,,,,,
334,Gloss Dark Blue,10,dark blue,,,,,Kona F-4 feldspar	43.51,Silica	28.12,Whiting	18.24,Kaolin	10.13,Cobalt carbonate	1.00,Red iron oxide	1.00,,,,,,,
335,Glossy Black #1223,10,black,,glossy,,,Barium carbonate	2.50,Whiting	16.00,Custer feldspar	49.50,Kentucky OM #4	10.00,Silica	22.00,Chrome oxide	1.28,Cobalt oxide	4.93,Manganese dioxide	2.46,Red iron oxide	4.96,,,,
336,Glossy Deep Blue Green,9 - 10,deep teal blue,,satin to glossy,reduction,,Whiting	23.30,G-200 feldspar	27.18,EPK	19.22,Flint	27.28,Zinc oxide	3.01,Chrome oxide	0.29,Cobalt carbonate	1.36,,,,,,
337,Gold Liner,9 - 10,,,,reduction,,Custer feldspar	34.91,Dolomite	19.72,Whiting	3.12,EPK kaolin	23.24,Flint	19.01,Zircopax	10.06,Bentonite	2.01,Red iron oxide	3.02,,,,,
338,Gold Metallic Reynold's,6-10,Metallic Bronze,Tested,Satin matt,Ox. or Red.,Opaque,Redart	60.00,Ball clay	5.00,Flint	5.00,Manganese dioxide	45.00,Copper oxide	5.00,Cobalt oxide	5.00,,,,,,,
339,Gold Shaner,10,Gold to Red,Untested,Satin matt,Reduction,Opaque,Custer feldspar	52.00,EPK	7.00,Calcined kaolin	16.00,Whiting	21.00,Talc	4.00,Iron oxide	2.50,Rutile	2.50,Bone ash	3.00,,,,,
340,Goodrich Mediterranean Blue,9 - 10,teal blue to black,,glossy,reduction,,G-200 feldspar	33.30,Whiting	25.00,Kentucky OM #4	12.50,Flint	25.00,Zinc oxide	4.20,Cobalt carbonate	5.00,Chrome oxide	2.50,,,,,,
341,gray celadon,11,Gray,Untested,Semi-gloss,Reduction,Transparent,G-200 feldspar	45.00,Flint	22.00,EPK	8.00,Whiting	11.00,Gerstley borate	9.00,Dolomite	5.00,,,,,,,
342,gray celadon no gb,11,Gray,Untested,Semi-gloss,Reduction,Transparent,Custer feldspar	34.70,Silica	17.80,EPK	14.70,Whiting	8.80,Dolomite	6.30,Frit 3134	17.70,,,,,,,
343,Gray-White Translucent,8,Gray white,,semimatt,,Translucent,Feldspar	40.00,Whiting	18.00,Cornwall Stone	18.00,Tennessee #1 ball clay	20.00,Magnesium carbonate	4.00,Bentonite	1.00,,,,,,,
344,Gray-White Translucent,8,Gray white,,Satin matt,Oxidation,Translucent,Feldspar	40.00,Whiting	18.00,Cornwall Stone	18.00,Tennessee #1 ball clay	20.00,Magnesium carbonate	4.00,Bentonite	1.00,,,,,,,
345,Green  Veerkamp 1,10,green,,Gloss,Reduction,Translucent,Red clay	21.70,Custer feldspar	46.23,Whiting	18.87,Talc	3.77,Bone ash	4.72,Gerstley borate	4.72,Red iron oxide	2.83,,,,,,
346,Green black matt - Brandeis,"6, 7, 8, 9, 10",green black,Untested,Waxy,Oxidation,,Nepheline syenite	74.26,Zinc oxide	1.98,Dolomite	4.95,Whiting	2.97,EPK	6.93,Flint (325m)	8.91,Copper carbonate	3.96,Cobalt oxide	2.97,Rutile	9.90,,,,
347,Green Dark Aquamarine Goldberg,9,Blue-green,,,Reduction,Opaque,Feldspar	56.00,Whiting	20.00,Ball clay	2.00,Spodumene	7.00,Bone ash	4.00,Gerstley borate	5.00,Calcined kaolin	6.00,Chromium oxide	0.50,Cobalt carbonate	0.50,Nickel carbonate	0.05,,,
348,Green Deep,10,Green,Untested,Gloss,Reduction,Opaque,Bone ash	4.76,Gerstley borate	8.57,Whiting	4.76,Kona F-4 Soda Feldspar	63.81,Flint	13.33,Zinc oxide	4.76,Red iron oxide	1.90,Cobalt oxide	0.24,Chrome oxide	0.48,,,,
349,Green Glaze,9 - 10,light transparent green,,glossy,reduction,,G-200 feldspar	37.54,Flint	26.03,EPK	15.62,Talc	6.51,Whiting	14.31,Red iron oxide	2.00,,,,,,,
350,Green Hamada,10,Green,,Gloss,soda,Opaque,Barium carbonate	24.20,Whiting	10.20,Custer feldspar	59.90,Kentucky OM #4	5.80,Zinc oxide	9.24,Copper carbonate	3.07,Red iron oxide	2.91,Rutile	2.30,,,,,
351,Green Moss,10,Green,Untested,Gloss,Reduction,Translucent,Bone ash	1.10,Talc	7.80,Whiting	22.40,Custer feldspar	30.90,Kaolin	12.60,Flint	25.30,Copper carbonate	5.50,,,,,,
352,Green Oribe,10,translucent green,,glossy shiny,Ox. or Red.,,Potash feldspar	30.90,Flint	25.30,Whiting	22.40,Talc	7.80,EPK	12.60,Bone ash	1.10,Copper carbonate	6.50,,,,,,
353,Green Oribe 2,10,green,,Gloss,Ox. or Red.,Translucent,Custer feldspar	80.00,Whiting	20.00,Copper carbonate	5.00,,,,,,,,,,
354,Green Oribe 3,10,green,,gloss,Ox. or Red.,Translucent,Potash feldspar	31.80,Silica	25.70,Whiting	22.60,Talc	7.70,Kaolin	12.30,Copper carbonate	5.80,,,,,,,
355,GREEN ORIBE 4,10?,green,Untested,"shiny, glossy",Ox. or Red.,Semi-opaque,Flint	17.30,OM-4 ball clay	10.80,Whiting	9.70,Dolomite	6.50,Custer feldspar	22.70,F-4 feldspar	18.90,Barium carbonate	14.10,Zircopax	8.10,tin	4.30,Copper carbonate	6.50,,,
356,Green Oribe 5,,Green,,Gloss,Reduction,Transparent,Custer feldspar	32.00,Whiting	24.00,Silica	24.00,EPK	12.00,Zinc oxide	8.00,Copper carbonate	8.00,,,,,,,
357,Green Oribe Limestone,9-10,Green,,Gloss,Ox. or Red.,Transparent,G-200 feldspar	49.00,Whiting	15.00,EPK	12.00,Flint	24.00,Copper carbonate	7.00,,,,,,,,
358,Green Randy's,10,,,Gloss,Reduction,Translucent,Flint	19.20,Ball clay	12.00,Whiting	10.50,Dolomite	7.30,Barium carbonate	15.00,Custer feldspar	25.00,Kona F-4 Feldspar	21.00,Zircopax	9.00,Copper carbonate	6.00,Tin oxide	4.00,,,
359,Green Reeves,10,green,,glossy,reduction,Opaque,Custer feldspar	75.00,Whiting	15.00,Flint	5.00,Kaolin	5.00,Chrome oxide	4.00,,,,,,,,
360,Green Reitz Matt,9 - 10,green,Untested,Satin matt,Ox or Red,Semi-opaque,Nepheline syenite	70.00,Whiting	5.00,Gerstley borate	2.00,Petalite	15.00,Clay	8.00,Cobalt carbonate	1.00,Rutile	2.00,,,,,,
361,Green Rob's,9 - 11,green,Untested,gloss,reduction,,Cornwall Stone	71.43,Whiting	17.14,Gerstley borate	4.76,Strontium carbonate	6.67,Copper carbonate	9.52,Bentonite	1.90,,,,,,,
362,Green Salt Shino,9 - 10,,,,Salt,,Nepheline syenite	45.00,Kona F-4 feldspar	10.80,Spodumene	15.20,EPK	10.00,Soda ash	4.00,Redart clay	15.00,,,,,,,
363,Green Sana's (original formula),6 - 10,green,Untested,,reduction,,Potash feldspar	30.01,Whiting	9.99,Colemanite	12.00,Barium carbonate	8.00,Magnesium carbonate	3.00,EPK	5.00,Silica	32.00,Tin oxide	3.00,Copper carbonate	5.00,Rutile	5.00,Bentonite	2.06,,
364,Green Sana's (revised for C10R),10,green,,Matt,Ox. or Red.,Opaque,G-200 feldspar	26.80,Flint	25.20,Gerstley borate	18.20,Wollastonite	10.60,EPK	6.60,Strontium carbonate	5.60,Talc (NY)	2.50,Bentonite	1.00,Copper carbonate	4.60,Tin oxide	3.00,Rutile	4.60,,
365,Green Sombright,9-10,Green,,Waxy,Reduction,Opaque,Custer feldspar	45.00,Whiting	7.00,Zinc oxide	10.00,Strontium carbonate	25.00,Ball clay	13.00,Copper carbonate	5.00,Rutile	1.00,Red iron oxide	1.25,,,,,
366,Green Sparkle VC Matte Revised,9,,,Matt,Oxidation,Opaque,Kona F-4 feldspar	40.00,Flint	10.00,Gerstley borate	5.00,Lithium carbonate	8.00,Whiting	8.00,Titanium oxide	10.00,Copper carbonate	1.50,,,,,,
367,Green Veerkamp 2,10,green,,Gloss,Reduction,Translucent,Cornwall Stone	36.84,Barium carbonate	7.37,Whiting	14.74,Silica	14.74,Ball clay	26.32,Red iron oxide	22.11,,,,,,,
